,tweet,sentiment
16,مؤتمر مفكر في أبو ظبي عالم عاش ثور علم تكنولويا تواصل إنساني نحن عاش حقب جهل كذب غياب قيمة حزين على يا مصر,
17,أنا لو نفس اخطط و ارتب و اصرف فلس دنيا عشان اشوه اخوان مش حاعرف اخترع حد زي صفا حجاز,negative
18,تحالف بين أنصاربيتالمقدس و حرسالثوري تنفيذ عملية إرهابي في مصر مصر أخ مدالشيعي عملياتإرهابيه,
19,أسمفيلمبتحبه أسف علي إزعاج,positive
20,مش عيب كذب عمر ما عمل لا هعمل بلوك حد لا مدح نفس,negative
21,ضعف انتخابي جماهيري لا اقتصر علي حزب جديد يطال كل تأكيد قوي راسخ في مشهد سياسي إلا أن عقد سلطوي مبارك طويل أنهك,negative
22,مصرالقويه حذر من خطر تحول سلطة دولة مجرد سند سلط عسكري لا فهم سياس لا وعى معني دولة مهمة حد خارج فكر حمل سلاح,negative
23,منذ عام حتي آن كل ما قدم أنصار تيار شعار إسلاميه مصر مجرد مشروع خناق مع عالم كون ابن وطن,negative
24,باسمطلعحرامي يا حرام,negative
25,دعمرو حمزاوي برنامج خر كلام أبريل,
26,سلفي سعيد عبد عظيم قال أن مرسي آي من آية الله نسي أن الله تعالى أرسل إلى مصر يوم سيد موسى آية من جراد قمل ضفدع دم,negative
27,لسان عربي بين ألسنه زمن ربيع بين أزمنه اليومالعالميللغهالعربيه,positive
28,بور ل في مولود دعا الله ان جمع شمل أسر في بيت طيب و جعل من خالد نعم إبن نعمة أبوان,positive
29,اكتبعبارهعليبابقلبك فراق وجه ضيق مواجه عيد وقت قاسي تقليد قشر,
30,أكثر شعور أوجع ما جاع في بيت مو بيت ايموشنموجب,negative
31,هاتلي اخوان أي حاج مش تنوين مش ضمير اخوان بعد كلم مش هتلاقي غير لوط شيطان,negative
32,عاوز كان عضو في حمل مشير سيسي سهل جد ساعد ان عمل مليون شير سأنتخبالسيسي,positive
33,ماظهلابد من معاير عداد توحيد تعريف كل قاطنينالتقديرات جزافيه ظلم بد أن توقف,negative
34,من سنة الذي فعل في وضع شهد وضع يد علي أخذ يمني علي يمني سرى علي سرى مبسوط إصبع مضموم نشرسيرته,
35,جمهوري مصر طبيعيه جمهوري ديموقراطي حقيقي جمهوري مدني حمى حق مواطن و مساواه و عدل,positive
36,كان أكره قارئ و حولني الي مهوس ب حول بيت الي معرضالكتاب ممتن ل جد استاذي,positive
37,ثورهالعراقيه هروب ضابط استخبار فوج خامس في جهاز مكافح إرهاب مقدم حسين محجوب عبد امير,
38,أسوانيماذا فعل أخ رداعلي سحل فتى تعرية قتل عشر من قبل عسكر الذي كان متحالف مع آنذاك,negative
39,حري تعبير لا تضمن تحريض علي عنف و فتن طائفي بل هو خطاب كراهي,negative
40,قصدي كان موجه كذب أن ما نتش هناك,negative
41,محب برنامج بيزيدوا,positive
42,مرسي فتح علي نفس فتح ضنك ذات رئاسيه دي ده في ناس هيبقي كيف شتيمه بعد كد,negative
43,لا أبد أنا مسرور من كلام,positive
44,عاجل تأجيل محاكمهمرسي و آخر في قضي حدث اتحاديه إلى جلس مايو مقبل سو,
45,قاهره حمل أمني إستهدف بؤرة إجراميه دائرة قسم شرط مصرالقديمه معادي دارالسلام كمي من,
46,حازمعبدالعظيم هو بيرد علي علي تويتر يوم حكم مرسي يقولي جيش دخل حل ليس حكم حازم دلوقتي في,
47,بكر قبل مايستقيل خد معا ميكروفون بيتبكري متن خد غرض من مجلس,negative
48,كامل احترام ل عباس لي مسك لسان ما شتمش,positive
49,يومالسابع أستاذ حق قاهره تشرف تدريس رئيس عدليمنصور,
50,خلقجميل قال حمد الله علي كل حاج أن رب مش عمل حاج وحش أبد,positive
51,سبع درس مستفاد خرج ب من حلق دردش تيوب الذي أذاع أحد ماضي عن اهتمام شاب عربي علي إنترنت,
52,سخري قدر ان اخوان ارهاب حينجحوا سيسي و دولة غباء حتنجح حمدين مصر أبريل,neutral
53,أبقى دائم سؤال ما إن جامد قوي مفترض إن معارض بيموتوا غيظ شاغل نفس بي لي ما بتستمتعش حلاو إنجازاتكالإجابهلأنك فاشل,negative
54,اكترى شيء أهم معرفة هل ده مشروع إستقلال حقيقي لا كارت مفاوضة في نفس توكيل,neutral
55,رصد خاص أولتراس جامع حلوان جاب جامع قبل بدء عالي مولد سيد سيسي,
56,ج أنعت رئيس بعد حشد مذهبي طائفي رئيس تكفير منتخب امتنع تشويه موقف تحويل عبث إلى أي شيء غير رفض مذهبيه تكفير,negative
57,ناس لازم أحس إن يونيو جت على فايد علي مستوي إقتصادي اجتماعيوسفالحسيني نقطهلقاء مص,positive
58,إصاب سيد في مشاجر بين شيخ بلد مساعد شرط أسلحه ناريه ب بنيسويف مصر تفصيل علي,
59,خافي نظام من ضيع عينهكمل تحقيق حلم فاعتقلوهخرج و كمل طريق قتل باسممحسن حكاي ثور,
60,د أبو فتح حكومه إسرائيلي تطيل أمبير صراع مع الفلسطينين أن لا أمكن استمرار و تماسك دون هذا,negative
61,النهارده في تحقيق استقصائي عبقري عن فساد في بورصه في مصريللأسف هيتوه في زحم حدث,positive
62,إستمرار حراك طلابي ب جامعهالمنصوره مفيشعساكريحكمونا,negative
63,أكبر معوق خازوق أخذ كان من أخ أنا شايف كد يوم وجب أن أكمل مشوار دون,negative
64,راجل بتاع أمن نفا معدل نفا كل دقايق فتح شباك عشان سقعه راح اشتكي مرار تكرار لي عم شعب معفن,negative
65,حظ عالم اهليالافريقي,negative
66,منهج انقلاب قتل قمع سجن اي معارض اعلام فاسد قضاء مسيس ارتفاع سعر اقتصاد انهار عزل دولي شحات خليجي,negative
67,كلب وفي رجاء عدم إهانة,positive
68,شريعه حكم كتب بعد وفى رسول ذلك غلط ربط شخص مش خوف لكن حرص علي أن معلومه كان صح,neutral
69,بنت تقلد مايكل جاكسون عل طريق مصريه مسخررره حطنيزكفيفيلم نيزك أعترا,
70,قتلي أكثر من مصاب في محافظة مختلف هذا مقدمة كارثي اقتتال أهلي حذر من دوم انبغى رفض مواجهة كل دم ا,negative
71,نفس في و تفو على فيفيعبده,negative
72,أعجب فيديو علي صاحبهالسعاده إبراهيمعيسي واقع,positive
73,الله بارى في حمدلله شدو رحل من لندن الي ليفربول كانو واثق خلف عظيم مورينهو صيعري صحاف اعلام,positive
74,لا ده بيقوللك سوري كمان أعلي حاج أن بيقوللك عبد بياده في نفس جمل بك جيش,negative
75,الذي انتخب شفيق ليس ضروره فل فل بساط هم كل من اشترك استفاد من فساد مبارك لا أمكن ثوره ان تحالف مع لان قام ضد,negative
76,مصر انقلاب طالب مقعد دائم دولة عربيه في مجلس أمن بين مصر عرب في أضعف حال مثل مريض طالب اتحاد,negative
77,كان حي طبق متوسطه أعلى في مصر و ذهب إلى كتاب و مثقف مصر بحث عن مزيج نادر اتفق مع طبيعة,positive
78,عامل مصر هم عماد وطن تكرار إعتداء علي عامل أكد ان دولة مبارك لم سقط وان تغير وجه,negative
79,مستشار قانوني محامي خبير في أنظمه محاماه محاما مستشار قانون زواج قضية محامي رياض قضي رقم ريتويت,
80,هات مقش معا بدأ فريق عمل معا صنع داي جديدهلمصر جديد مجموع من حملة نظافه في,
81,مناضل حمدينصباحي ظل ناضل ناضل حتي وجد نفس محكوم على إعدام أهم ممارس نضال في مكان عام بكر تشوف,positive
82,مقال د علاء أسواني هل كرر خطأ سنهوري نشر غد جريد مصري يوم,
83,أنصار حريه ديمقراطيه في أوروبا وضع شجاعه قبل اي شيئ آخر نادي إيطالي انتظر موقف انقلاب من عبد ظاهر,neutral
84,معظم اخواآن مشاركوش ف هشتاآج مسئ سيسي كد أبقى اخوان باعونا مرة مر ف محمدمحمود مر ف هشتاجهشتوج,negative
85,رب بارى في,positive
86,إستخدام مسجد في عمل سياسي نشر عنف,negative
87,اذ تم عفو عن مبارك نظام هذا رسال من شعب الي رئيس قادم تعالى اسرق استبد ب ذل كما كان مبارك,negative
88,شاهد جول سوري حر درع جول مع أمير إقتحام جبه نصر في تل جابيه بين جثة غنيمة علي,
89,صورة شهيده رضى رمضان سن الذي استشهد رصاص قوة أمن انقلاب فيوم انتخبوالعرص,
90,مهو ما واحد يصتبح علي جدول امتحان كد مفروض بقي يوم هيبقي عامل ازاي,negative
91,عمر شاف إستفتاء علي دستور أطاح مبدأ دستوريه مساواه تكافؤ فرصة في قاعدة مرحل إقتراع إدارة,negative
92,إيمان محق تهديد واصل نضال سلمي مع شعب مصري شاب ثائر استكمال ثورة قصاص دم شهيد وفاء روح شهيد محمدالجندي,positive
93,ذكر نبيل مصطفى نبيل كاتب كبير هو حي رزق نتمني أن تذكر باحث إعلام بعد موتهرحمه الله,positive
94,ألم أقل ل إن ممارس فاضح ازدواجي معاير تخوين معارض أمل أن لا ابتلع بعض قطاع رأي عام طعم مجدد,negative
95,ازاي برادعي قال ان هولوكوست مأسا انساني و ان بوذا ممكن كان نبي و ان سلف متطرف و طالب عود يهودايهده عصام عريان,negative
96,من آخر اي حد في رمق من معارض أمكن نزل انتخاب شعب أو شوري يتقبض على غاي ما تخلص خارط طريق بعد رب سهل,negative
97,الان علي قنا دريم ضيف برنامج توقيت قاهره مع حافظ ميرازي,
98,أسواني هذا لا وجد فرق بين إرهاب كنيسه كاثوليكيه في أندلس علي يد راهب بليد إرهاب أسام ابن لادن,negative
99,إعلامي محمد ود عقد مؤتمر جماهيري غد مدين زف حضور فنان غادهعبدالرازق دعم مرشح عبدالفتاحالسيسي إلعب ياسيسي,
100,من فهم في قانون أكثر من فقيه دستوري دكتور ثروت بدوي دكتور عاطف ب أستاذ جمال عيد كل أيد قرار رئيس عود برلمان,positive
101,انقلاب اعاد الي عام بعيد عن حرية ضائع تخلف زحف علي كل قطاع بكر تشوف مصر,negative
102,نبضرابعه شاهد معتقل منيا في قاع محكم هتف ساخر من قاضي و من فضيح زوجة مع مدرب كراتيه,negative
103,لم أدعم مرسي قاطع انتخاب اعتراض علي عدم عزل شفيق عدم محاكمة لكن مرسي فائز طبق تقرير قضى مستقل ثوره إخلاص حقيقه,neutral
104,زي نهار طفل ما انفلت من بين يد ضلمه يشقشق أنا شفت روح حق ما إتسللت صرخ في وش خرس إنطقعمار فؤاد حجاج,
105,نأمل أن لا وصل,
106,موقف اخوان من جو برلمانهمشلت بلطجي جنيهشريط ترمدولوجباتنتذكر سوا سادهالمحترمون,negative
107,لا أراد ان يجعلونا فعل مثل هم لا دين ل هم تاجر دين تحيامصر أنتخ,neutral
108,هل ممكن كان مرسي مختفي فتره دي عشان مش لاقي شاحن هو راخر آه يادوله عكاك,negative
109,عن فرح لمه خروج ضحكالسنين غني تصوير لفبالعربيه شارع صبح خبر عمرالمسخره انبساط يوم شيخ,positive
110,عبد ناصر عمل وحد مع سوريا بدأ ياميش سيسي هيعمل وحد مع اسرائيل بدأ طماطم,neutral
111,آخر ساعي يومالجمعه اللهم ان اسأل عيش سعيد موت شهيد فردوس اعلي بجن جنة عدن اللهم أمين,positive
112,سبحان يالله في ساعي مطر استجاب دعوة عادل,positive
113,دوري سيسي مرارطافح,negative
114,وزير غلابه باسمعوده معتقل ف سجن عسكر لان كل حلم هو تقديم افضلمنتجلاكرمشعب انامشرقم انتفاضهالسجون,neutral
115,قلم عقب أسبوع من محمد محمود مجد بطل محمد محمودهتفضل مصر شايل جميل دائم أبد,positive
116,كفاي اسفاف,negative
117,الليسريفودهمعملهمشريتويت دي فتن عشان انقسم عادى بعض إلعب غير,negative
118,اتفق مع في ان رجل عرف حق لا عرف حق رجل,positive
119,سيسي لام خطاب ديني غير مرتبط عصر علي ما لحق من ضرر قطاع سياحه في مصر مرسي اخوان السعوديه امارا,negative
120,حب لي أبقى ف نور قدام رب احلي كتر من كلام ف موبايل ليل وان تستخبي من اهلك,neutral
121,مين جاي مؤتمر بكره مؤتمر دفاع عن دستور استعرض مؤتمر آخر مستجد تطور عمل وضع دستور تبعة,
122,لا أهاجم مرسي أن أستكثر على رئاسه بل أن كذاب مخلف وعد في رقبة دم شبابلا أسمي خرفان حتي خروف استحيى أن دافع عن كذاب,negative
123,عاجبني إيجابيه خايبه بتاع رفقة طيب خليك إيجابي شوي حنك سياسي أي منظر مش ستريبتيز مجاني كد مرارطافح ثور,negative
124,نتمني رئيس وزير دكتور عصام شرف شفاء عاجل كما نتمني أن كان مرض مرض سياسي,neutral
125,و اعتز مصري و صعيد,positive
126,عاري عاري عاري عاري عاري عاري مانحن في عاري دم نهر شهيد عشر رصاص في رأس رقبه صدر,negative
127,د عمرو حمزاوي يوم ساعه مساء علي قنا يناير برنامج أهل بلد,
128,بلطجه أخ إعتداء علي إعلام محيط اكاديمي شرط سادهالمحترمون,negative
129,من ردد هم من لا أراد في مصر لا في سياسه لا في برلمان قادم كفى ضرر الذي أحدث ثقافة وعي سياسي لغة أسلوب,negative
130,بدء مؤتمر صحفي صحه إعلان عن إجراء مواجه كورونا مصر ميدانالتحرير,
131,بد من حمل إنتخابي علي أرض تواصل مع ناخب ناخب لا اعتمد فقط علي صحاف تلفزيون,neutral
132,إذا توقع إنتصار تشيلسي يوم ضد ليفربول ريتويت ليفربولتشيلسي,
133,أتمنى ان كان قوي إسلاميه ليبراليه يساريه راغب فعل في تشكيل قائم وطني موحد خوض انتخاب برلمانيه قادم,positive
134,أنا مش فاهم واحد عند اكتر من عشرون ألف متابع مجرد ان حاطط صورة و محور في اسم ريبورت و سبام من فضل,negative
135,فضيح تان أنا لس ماسك ف مستشفى راسي سدر عرف ان تم أخذ من دولة حد مليون جنيه لم تم صرف من,negative
136,اردوجان مستمر في نهج حاول أن لوث مد ثوري مصري يوسفالحسيني سادهال,negative
137,هنلف رجع نفس نقطهلما قال إن كل لي قال لا ثور مضاد أبقى ماتكلمنيش عن تفكير علمي منطقيبس كد,negative
138,حمدينصباحي قال برنامج هيتحقق في شهر بس مقالش هيبقي طبيعي و لا قيصري و في مستشفى أي رحم يا رب,negative
139,من أوقف قانون عزل من يجمد بلاغ فساد ضد شفيق من أهدر طعن تزوير هل جرى انتخاب اعاد نزيه اما تطبيق قانون أو مقطع شامل,negative
140,ما إن عارف مجموع شيوع إسم ابقي قدم في بلاغ ولاتنشر كلام علي عواهنهكلامك واضح يارجل حوار,negative
141,هل زال ظلم طاعة أو حنان ضعيف أين فارس قومي كي هب اصطفاف غزهتحتالقصف,neutral
142,إبراهيم صلاح ضحي ب مليون من هلال سعودي أو اتحاد جد إختار زمالك زملكاوي,positive
143,ب بعد عزل إجباري رئيس مدني منتخب كان أتمني أن لا حدث احترام أخ جوهر حقيقي ديمقراطيه متمثل في طلب شعب تغير,negative
144,شيخ حازم أبو إسماعيل رد علي فتوى برهامي أخيره فك الله اسرك يا بطل من تعلم منهج دين حق,positive
145,يا عزيز حاول أكثر من مر من سبتمبر لي فات كان موافق ثم اكلم من حول لا أجد اجاب شافيهدلوقتي برنامج خلص خلاص,neutral
146,حطنفسكمكانالبنت لي بقي سمع شتايم قذر من ناس اقذر في شارع عادي علي اساس ان ولاد كد تهزر,negative
147,في أمريكا دلوقتي محطة نويه شغال برنامج فضاء شغال بحث علميه استديوهات مصنع حزب حركة رفضإنت بقي شغال في إيه,negative
148,أطالب عزل شفيق محاكمة ثم عمل انتخاب نظيف أو تحقيق في تزوير استبعاد صوت باطل إعاده بين ثاني ثالث أو مقطع مهزله,negative
149,دعوهللتفاؤل ما أنزل الله من داء الا أنزل ل دواء,
150,مع ذلك سقط أمس إلى أبد مقول أن تيار ديمقراطيه لا شعبي ل أن أخ حليف احتكار اراده شعبيه توكيل صندوق,neutral
151,شمس حريه نادى يا وطني يا وطني غالي ولي خنو و انتخبوالعرص ريتويت,neutral
152,حوك,negative
153,من بواب هرم أسلوب حقير صهاينه استخدم من قبل مع آخر,negative
154,هذا ماقل يوم مع محمود سعد من أراد أن أدرك حقيق أكذوب إستقرار الذي روج لهتصبحوا علي خير,negative
155,برود اسلوبحياه,negative
156,أخ جماع إرهابي هم من قتل ابن,negative
157,يا فل يا لا مره تفويضكوم جابي لور مكمل مرسيرئيسي,neutral
158,نسمو علي خلاف سياسيه حزبيه نعل فقط مصلحه وطنيه انتصر ثورة كان مصر قوي إذن الله,positive
159,حين أصبح مصطفى بكر شبه متحدث اسم مجلس عسكري اعلم أن هناك كثير وجب عمل حتي نجح ثورة,negative
160,ان لون رمادي ليس ل محل من اعراب يا ابيض يا اسود علمتنيالثوره,negative
161,أثار تخريب كنيس مارجرجس حرق بيت قبطي قري دلج بعد اعتداء أخ سادهالمحترمون,negative
162,لا شيء برر إحال مدينة قضاء عسكري حتي بلطجيه قضاء مدني كفيل ب,negative
163,بواب شروق تأجيل لقاء بين صحه ولج إضرابالأطباء,
164,أهدم نفس عشان تبني مستقبل تعليمفيمصر,negative
165,يامن تحدث اسم إسلام ثم تلقي علي من يخالفك في راي صندوق قمام من بذاء كثير من اشتم أكثر اسلام من لان مهذب,neutral
166,مصرالقويه قد حذر في حزب مصر قويه لا زال حذر من خطور تحول سلطة دولة إلى مجرد سند سلط عسكري لا فهم الس,negative
167,مازال مشكله من داعي تحت اي رأي اجتمع و اسم تجمع و تيار ثالث و لا تيار شعبيو من قاد هل عقل,neutral
168,دولهالتعريص عسكر حرام,negative
169,لا استطاع رئيس مرسي ان تنصل من مسؤولية عن إلغاء عرض مسرحي علي مسرح دولة هل قرار أمن أقوى من رئيس وعد رئيس عن حري إبداع,negative
170,أما نسب شامخ فد يدلع قال يا أبو شامخ,negative
171,عمليه نسر لم فشل نسر هرب مع طائر نهضه عشان يتجوز عرفي و راجع,negative
172,دعلاء أسواني كيف أنصف إمام محمد عبده مرأه قرأ مقال كامل,
173,أسوانيلماذا أصر ولاية المتحده علي استمرار في دعم مرسي نهايه رغم قتل مصر قمع تظاهر,negative
174,أنصارالمعزول تعدي ضرب تعذيب علي صحفي جريد فيتو محمد ممتاز,negative
175,حياهاقتصاد استقال رئيس تنفيذي مجموع بيجي بريطاني بحرين إمارة كويت مصر سوريا جزاء,
176,تنظيم دولي أخ تعلم علي يد رامسفلد قام حرب في فت واحد أو كلاموكلام يوسفالحسيني,negative
177,قال أخ بيزايدوا علي توع إتحاديه طب و جمل مش هننزل نتظاهر مع أخ دي إيه رز لبن,negative
178,حاولماتبقاش والد لي صاحب ميه بنت في آخر هتجوز واحد استرجل بقي,negative
179,أهلي اسلوبحياه,positive
180,الله ينور على يا دكتور هو ده تفكير لي عايزينه مش كم مسجد كم كنيس,positive
181,مره أولى في عام أتى يوم أكتوبر جيش ليس حبيب شعب اغلبيه بين كاره غاضب خائف مندهش أو لدى ثأر,negative
182,رجعوالجماهير,
183,د أبو فتح رقبة دولة علي فكر حال ناس الي مؤمن منافق هذا ما انريد لا قبل,negative
184,ليس مقدور أحد ان أعاد مصر الي حظير خوف قد ثوره كسر حاجز خوف الي أبد لن تراجع عن مطلب ثوره لو صدر ضد ألف حكم,positive
185,أمن سمح ل ألتراس حضور نهائي شاب يد بين أهلي طيران مزيد من تفصيل,
186,هنأ دكتور عبد منعم أبو فتح تأسيس حزب مصر قويه دعا ل توفيق أن كان هذا حزب خطو نحو بناء,
187,طاقه بشريه اذ ما أحسن استغلال هي رصيد و ليس عبء قوة في عدد,positive
188,بسم أمل قص سقراط مع نميمه في هذا يوم أسف كثر شائع نميمه أصبح كثير إلا من رحم رب من,negative
189,اولادميتعقبه زمالك حبالابيضغير,positive
190,استمع عامل لا حق في إنشاء نقابة مستقل مليون عقد مؤقت استبعاد ألف مرشح من اتخاب نقابيه عدم وجود حد إنساني أجر,negative
191,هو إحنا حا عمل جلسة مجلس شعب لي ما أخ أهم بيخلصوا كل حاج من مكتب لا حوج زحمه مصروف,negative
192,رحم الله شهيد واجب وطني علي حد دعا جناز شعبي حاشد ضد إرهاب طائفي دم مصري حرام,neutral
193,طبع رئيس الذي أطلق جماعة بلطجي اعتد يسحل ضرب بنت بلد هو رئيس فاقد شرعيه تمام,negative
194,ألف شكر,positive
195,اسم جنى متهم نيابه عام هي باشر تحقيق نحن نكشف حقيقة كامل رأي عام حمل جميع طرف مسؤولية توضيح,neutral
196,آن محضر عن صحابي جليل خليف رسول الله عثمانبنعفان ذوالنورين إذاعهالقرآن,positive
197,غلط شاف اعلام بتاع بيمسكوا في اي حاج حتي لو تافه,negative
198,حي قلب فرح شبابالاهلي,positive
199,موقف محترم حذر أمير خالد ابن طلال ابن عبد عزيز عضو عائله مالك سعودي أن إجاز خروج علي رئيس مرسي,positive
200,أصحاب محل في شرم احتفل انقلاب اذاع سلم ايادي يوم تظاهر ضد انقلاب بكره تشوفو مصر,negative
201,حال أول مر في حياة متشرف أن كان في مدين محل أكبر حي أحد فرح بعد قليل,positive
202,لم حدث هذا كذب و افتراء,negative
203,حاجهتستاهلالحمد كل حاج ف حياة أكيد,positive
204,ذاتمومنت ما موبايلك يغطس في بطنيه قعد ادور في ما تلقشي آخر حاج انفض بطنيه قعد موبايل ايتخبط فيالوطي أصل عادي,negative
205,شخص هدد إستمرار إرهاب عملية قتل في سيناء حتي عود مرسي اعتقد أن مدان قانون سجن في إنتظار,negative
206,أهالي عزبهالنخل فضح سيسي حملة قال ل عمل توكيل سيسي هن,negative
207,احي شيخ حسن عبد بصير امام مسجد سيد جابر الذي رفض تعليم وقف نفاق مرسي في خطبة جمعهتعلموا استقامه أي اخوان كاذب,neutral
208,دعا دين نشر أكذوبة لم كان أبد عضو وطني أنتم تاجر دين,negative
209,لما تبص حوالي هتعرف ان أحسن من ناس كتير عشان كد لازم قال حمدلله,positive
210,اكشنيادوري نصرالاهلي نصر سوي شي ماينتسوي فاز تصدر رغم كل صعوبة لكن موت ياجماهير حوي مع نصر هيهات هي,neutral
211,كان واثق ان احداث رابع دم الذي سال سوف كان ل اثارلكني لم اتخيل أبد ان أصبح وقود ألهب مشعر مل تحي,neutral
212,مرسي موحد فتنة,negative
213,خر ما كتب شهيد يوم إذن الله عبد رحمن أحمد هذا هي نوعي شاب الذي قتل سيسي حسب الله و نعم وكيل,
214,نيويورك تايمز انقلاب دراكولا بطش صحاف,negative
215,استمرار تطور تجديد كادر تنظيم مسلح جماع أخ إرهابيه سادهالمحترمون,negative
216,ببلاوي أنتخبوالعرص هاشتاج,negative
217,الليرافضينالسيسيرئيسبيعملوافولوالبعض مرسيرئيسي انتخبوالعرص سيناءخارجالتغطيه سأنتخبالسيسي,neutral
218,ماحدش هيضيع بلد غير جبان واطي حقير عديم ذم لي عمر ما قبل علي نفس ما قبل علي غير من كتر ما هو خائف جبان,negative
219,مفيش حاج اسم دولة وطني في حاج اسم جماع تنظيم طز في مصر سادهالمحترمون,negative
220,عربيالجديد ميدي ارتفاع عدد مستخدم اتسآب و مليون رسال يوم,
221,مال سمك إسكندري يافندم طب الله من غير مبلغ في عالم مالقي مثيل أتوسل إليكي ماتحطميش أسطورة خاص,positive
222,اعتقال امطار لا مبرر لكن انقلاب رفض حضور محامي تحقيق نيابه,negative
223,عبد منعم أبو فتح أعداء مصري في خارج داخل دبر مؤامرة إجهاض ثور يناير,negative
224,قدام بيت ايموشنموجب ربيع جمال نيويورك بيت مبتعث,positive
225,صراح عن ناس أبقى نفس تقول يلا مركب لي أودى و يا ري تقلب و هي أودى رخام,negative
226,جزار فاشل حضر آن سكين كي ذبح بعض كبش فداء قبل أن اكتشف أن مشكله أعمق من فشل شخص هي مشكل فشل سياسة,negative
227,نصرالفيصلي عظيم جمهور الله أسعد حاضر كل غايب,positive
228,نت فودافون علم صبر,negative
229,عصام سلطان فضل عشر سنة عامل نفس منشق ضد اخوان بعد بعد ثوره اتضح ان من لا انشق لا حزن,negative
230,كان تأجل تيجي من جميل عمل في قعر مجلس كبير عائله بس هتقول إيه غباء سياسي صنع,negative
231,إن باين على جن أمن دولة مفضوح جد,negative
232,سامي عبث تاريخ زعيم جعل أكبر افراح فوز طول اولمبي أرحل,neutral
233,مدير جامع إمام استنكر ثناء علي أردوغان اعتبر تركيا دولة فاسد فاسق فاجر نشر رذيله عسير السعوديه,negative
234,لا أنكر أحد ضرور إجراء إصلاح شامل قضاء سواء في كيف تعين في بدايه حتي كيف محاسبه داخل قضاءلهذا تقدم,neutral
235,جبان كذب علن أحد قال ان عسكر لم حكم مصر آخر عام طالب خضوع مصر جيش استشارة في اي حاج خص,negative
236,مقال عمروحمزاوي مذهبيه مدمره مسموع من موقع اقرألي,
237,انقلاب أغلق مسجد نصر ب رفح من اظلم من منع مسجد الله ان ذكر في اسم سعي في خراب انتظر عقاب الله,negative
238,مبادر دستور باطل تعريف شارع مساءة اقتصاديه و اجتماعيه دستور ببساطهريتويت بق مرة قبل الأ,negative
239,عند سكت أخ علي بذاء شيخ مؤيد ل تطاول علي عرض فوق منبر لا فرح كثير أن تكت نار بذاءه سفاله,negative
240,كذب حقير هرم عربيمرسي طبع مليار جنيه بنك مركزي أسف استنكر رفض تعقيب,negative
241,انتقاص من صلاحية برلمان منتخب إعطاء صلاحية تشريعي مجلس استشاري معين هما أمر انبغى علي كل مؤمن ديمقراطيه أن رفض,negative
242,قانون منع تظاهروالاعتصام مزمع إصدار حسم امرأمام كل متردد أن واجه سلط قمعي ليس ل مشروع استهان حرية رام حق مصر,negative
243,عاد من اسماعليه منذ قليل بعد يوم حافل ختم مؤتمر جماهيري دفء مشعر أهل اسماعليه هون برود جو,positive
244,اعرفوهمانقلابمصريسقطحكمالعسكر داخليهبلطجيه شهداءالحريه شهيد محمد فتح عام بنيسويف,neutral
245,أحسن حاج في أغنى سكهشمال هيا أي أي أي أي لي أمير قال قبل ما أغنى علي طول,
246,يوم هذا هي يوم اختلال مفزع معاير حكم علي أمر في مجال عام في مصر في بلد عربي,negative
247,نحن حاج إلى وسطي في معاملة اعتدال في موقف و الا تعرض عامل هدم مجتمع أكبر مصر تونس لبنان إمارة فلسطين,
