,user_name,user_location,text,likes,date
62,ahmad_shoeib, الوادي الجديد ,"ممكن تنشر عندك لو حد محتاج محاسب خبره ٦ سنوات عمره ٣٣ سنه وعنده طفلين هو اصلا مهندس اتصالات لكن اشتغل محاسب في مؤسسه سيراميك كبيره وفي مطعم وكافيه واشتغل cost control وعنده خبره ممتازه في الكاميرات واجهزه الكمبيوتر بصفه عامه وجزاكم الله خيرا
م.محمد اسماعيل
01007423113",65,2022-08-23
65,fatmamohed5, الوادي الجديد ,هي فودافون بقت حنينه كدا ليه يجدعان,6,2022-08-23
66,ahmad_shoeib, الوادي الجديد ,"اخر شهر ليا فى اورانج بعد ١٣ سنه خدمه
مش هيجددولى العقد توفير نفقات
ادارة المبيعات من طنطا ٤٠ سنه
زكي عطا
01224668662
ً#ريتويت",1,2022-08-22
68,Mohamed___Nasr, الوادي الجديد ,"بعد شكوى مع أورانج مبتتحلش، النهاردة بقول لهم عايز أعرف ميعاد لحل المشكلة
فردوا عليا سجلنا استيائك في الشكوى",0,2022-08-22
70,manarelsalhy4, الوادي الجديد ,"ا ح ا يا فودافون حولت 1500 ع المحفظه حاليا علشان ادفع مصاريف بيقولي مفيش رصيد رصيدك 2 ج حد يلحقني هموت منهم اعمل ايه دلوقت ؟؟؟
@VodafoneEgypt",13,2022-08-22
80,ShadiAh35738076, الوادي الجديد ,حسبنا الله ونعم الوكيل في فودافون لسه شاحن 100ج يفضلي 19ج بس,1,2022-08-06
81,hour4000, مطروح ,#فودافون الحراميه ارسلت لى رسالة انها اوقفت فلكساتى عشان انا مجددة ع النوتة وانا عمرى بحياتى ما جددت ع النوته المصيبة جيت اتصل ع خدمة العملاء اهزئهم قالى معنديش رصيد مع انى بالامس كان معايا ١٢٢٥فلكس و١٦ جينى وكسور رصيد بالتالى لازم انزل اروح لاقررب فرع طبعا تنصحنى اغير لأى شركة؟؟,101,2022-08-28
82,Zamalek_Jimmy, مطروح ,رقم خدمة عملاء فودافون للافراد كام؟؟,1,2022-08-23
83,inaramez, مطروح ,هو اتصالات انترنت واقع في الساحل؟ @EtisalatEgypt,0,2022-08-07
84,haydie_argent, مطروح ,بجد هى ايه الفكره ان الداتا شغاله و فل بس ابلكيشن انا فودافون مبيشتغلش لييه طيب !,3,2022-07-27
85,RadwaElamir, مطروح ,اعلان فودافون اللي جمب الرادار دا حوار 😂😂,1,2022-07-05
86,MaVRick_7, مطروح ,مش عارف ليه بسمع نيلي كريم في الاعلان بتقول لكريم عبدالعزيز، مدام انت Orange primer يبقي عندك Spotify علي بطنك 😂 !!,2,2022-07-02
87,iSheefoo, مطروح ,هل فيه تحويل من محفظة فودافون كاش لحسابي البنكي @VodafoneEgypt,0,2022-07-01
88,Gohary1011, مطروح ,الله يلعن Orange هما و خدمه عملائهم و النت بتاعهم و ال ping بتاعهم،هكسر الشقه كلها بسببهم,0,2022-06-26
89,amirham75456187, مطروح ,"حتى شركة اتصالات بطلت تدينى ال ٦٠ ميجا السوشيال ميديا اللى بتكلم بيهم مع اصحابى على الواتس آب = الدنيا اتقل خيرها يا جدعان 😂😂😂🤦
#الشبح_",1,2022-06-23
90,shehaba63788273, مطروح ,نمت بعد العصر ف حلمت أن مكتب العميد بقي فرع لشركه اتصالات ف دخلت اقابل العميد وقولتله عايز اجدد الباقه 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,10,2022-06-07
91,HebaGam83064135, مطروح ,في ٢٠١٨ كنت بشتغل في فودافون اسبانيا وبعدين سبت الشركة، المهم يعني النهاردة قابلت كل زمايلي اللي كانوا معايا في الشغل في فرح صاحبتي اللي كانت معانا برضو هيا وجوزها واتفاجئت إن كل زمايلي الشباب والبنات يا مخطوبين يا  متجوزين 😂😂 اللهم بارك 🤭,3,2022-06-05
92,Gohary1011, مطروح ,"ربنا بالينى بشركتين اوىىىخ من بعض،واحده ال ping فيها ٩٠٠٠٠٠٠٠٠٠ و التانيه بتسقط شبكه و الناس تقعد تكلمنى و تشخرلى و انا مبيوصليش حاجه 
@Etisalat_Care @orange 
ارحموا ميتين اهلى يا ولاد الوىىىخه",0,2022-05-29
93,Doniasalah_, مطروح ,الشبكة كانت واقعة في العلمين امبارح فلما رجعت اتصلت بماما اسألها انتي كلمتيني والموبايل مقفول؟ قالتلي لا متصلتش اصلا وانا اللي كان كل همي الاقي حد مش فودافون عشان اتصل بيها من عنده عشان متقلقش طلع مش في دماغها تكلمني اصلا🤡,5,2022-05-26
94,Alaacfc, مطروح ,اما نشوف اخرة الشركة الخرا اتصالات دي ايه,0,2022-05-17
95,Rana_GAMAL_rOnY, مطروح ,"حاسة ان حزلقوم له يد في موضوع لبس الصيف السنادي عشان كلنا نلبس زيه فمحدش يتريق عليه
مش معقول اللبس كله اورانج وفوشيا واخضر لا وبيطقمون على بعض",1,2022-04-26
96,RebelyesDRK94, مطروح ,"حد فاهم اورانج كاسيدي كان بيعمل ايه في ماتش ادم كول 😅
#AEWRampage",3,2022-04-23
97,HamzaMo05911880, مطروح ,انا اتقالي اغرب حاجه ف الكوكب دلوقتي اني شبل حد بتاع اتصالات وكده او بتاع سجاير ومش فاهم ايه العلاقه !!,1,2022-04-19
98,AhmedWagih, مطروح ,ايه احسن اعلان شركة اتصالات في رأيك؟,0,2022-04-16
99,Zamalek_Jimmy, مطروح ,ابضن اعلان اتصالات,0,2022-04-14
100,GorgNbil, مطروح ,"كان في اوفر على باقة انغامي بلص ٥٠٪ يعني ب ٢٤ جنيه كريديت وانا كده كده بشحنها من فودافون ب ٢٢ ف قولت من فودافون احسن..
قمت شاحن ٣٢ جنيه عشان يكون عندي رصيد ٢٢ اشحن الباقة..🙂
انا ف التوفير ماعنديش ياما ارحميني..",0,2022-04-03
101,M_EdisonII, مطروح ,فودافون ومشاكلها وخراب البيوت,0,2022-03-30
102,M_T1313, مطروح ,فودافون كانت واقعة ولسه واقعة عند ناس,1,2022-03-30
103,ahmedmelshimyy, مطروح ,"عايز اعرف فروع اتصالات الرئيسية في القاهرة والجيزة
فرع رئيسي اقدر اعمل منه فسخ تعاقد
@EtisalatMisr",1,2022-03-04
104,OmarEbnshazly, مطروح ,"النور قاطع و الداتا خلصت و مش عارف اشحن لنفسي عشان مفيش إلا ٢٥ ميجا سوشيال هدية من اتصالات
انا قررت أكلمكم بيهم",0,2022-03-01
105,HassanDivo, مطروح ,كىىىم اتصالات بجد انا لازم اسيب الشغل في اقرب وقت,1,2022-02-28
106,YasawY92, مطروح ,باذن الله قريبا …. اقطع اشتراكي مع انترنت اورنج @Orange_Egypt  والله ي جماعة ما تتخيلو كمية المعاناه مع هذه الشركة,1,2022-02-20
107,Afayez80, مطروح ,هي إزاي #أورانج بتعمل إعلانات سخيفة كده؟,0,2022-02-14
108,abdalla_syalla, مطروح ,هو اي إلي فودافون عملاه ده انا قولت الفون باظ,0,2022-02-05
109,si7a94, مطروح ,"تعلن الشركة المصرية للاتصالات عن حاجتها الى مهندسين بالشروط التالية :
التخصص : اتصالات 
السن : لا يزيد عن ٣٠ سنة 
التقدير : لا يقل عن "" جيد "" 
النوع : ذكور واناث 
برجاء من ينطبق عليه الشروط السابقة يقوم بإرسال الcv على الميل التالى : 
George.abdo@te.eg",0,2022-01-30
110,S_Abdullah990, مطروح ,مين فودافون ريد؟,2,2021-12-26
111,EhJv11ILE7FRHvC, مطروح ,هيا شبكة اتصالات بقت خرا اوووى كدة لية معدش فى صيانة,0,2021-12-24
112,She7ataJr, مطروح ,اتصالات مصممة تشغل موظفين IQ دبشة,0,2021-12-08
113,AhmedWagih, مطروح ,اخر يوم لي على فودافون بعد ٢٢ سنة - من بكرة انا اورانج...,13,2021-12-06
114,ahmedal40784547, مطروح ,"#علاميات
بغض النظر عن مين اللي غلطان في موضوع فودافون انا ما اعرفش الحقايق ومش بحب افتي بس اللي استرعاني اوي ظهور صاحب جديد بيشوف صاحبه بينضرب وهو واقف بيصور 🤔 ودي بصراحة حاجة جديدة عليا
 اتمني اللي عنده تفسير يعرفني لان انا اعرف صاحب ممكن يموت علشان صاحبه مش يصوره وهو بيتضرب😏",30,2021-11-21
115,AntewenTarek, مطروح ,"اشمعنى حصلت المشاكل دي لما فودافون مارضيتش تبيع حصتها للجيش
اصل الحكايه كدا القائمين على سياسة الاقتصاد مايعرفوش يعني ايه اقتصاد#فودافون",0,2021-11-21
116,yahya_ahmedh, مطروح ,كل شوية اشغل فيديو العميل اللي بيتضرب في فودافون كنوع من انواع تهدئة الأعصاب..,1,2021-11-20
117,Ezzat_Amin, مطروح ,المهم الخناقة كبرت ودة جاب له رجالة من بلدهم معاهم سلاح راح التانى مكلم قرايبه فى خدمة العملاء فى فودافون.,1,2021-11-20
118,ReemMokhtar15, مطروح ,فودافون  بعتالي الساعة خمسة  الا ربع الفجر مبروك كسبت ٥٠٠ وحدة مش مكفيهم الوحدة اللي انا فيها💔💫💫🤼‍♀️.,0,2021-11-20
119,Gohary1011, مطروح ,جماعه عندى مشكله دلوقتى فى فودافون ان الشبكه مبتجمعش،الناس تتصل بيا عادى و يرن معاهم بس موبايلى ميجمعش،الشبكه 4G و سرعه النت بالكيلو بايت، و لو ربنا كرم و كلمت حد بلاقيه بيغرق فى نص المكالمه،هل انا لوحدى اللى كده؟,0,2021-11-19
120,UmarUma56724385, مطروح ,"انهارده روحت ادخل شركه فودافون قالى ممنوع لو سمحت كمامه روحت ادخل الصيدليه قلى ممنوع تدخل بدون كمامه ضحكت و بصيت لنفسى ومشيت 
شكرا شعب مصر العظيم",3,2021-11-13
121,HassanA67086506, مطروح ,"فودافون مصر حتبيع الشركة لشركة تانيه تابعه ليها فى جنوب افريقيا
يلا في داهيه",2,2021-11-10
122,NehadZeid, مطروح ,"طبعا بس قلت اجرب واتصلت 15340
رد عليا خدمة عملاء زي فودافون وخد مكاني وقالي تكلفة الخدمة حوالي 500جنيه شاملة الديليفري.
بردو مكنتش مصدق لحد ما قالي بس في مشكلة😁
قلت ايوا كدا هو دا الكلام اللي متعودين عليه
خش على المشكلة
قالي انك ممكن متلحقش تستلمها انهاردا وانهاردا الخميس  بقت 7",0,2021-11-01
123,saifabdellatif, مطروح ,هيغيرو اسم الفيسبوك وانا orange بالنسبالي لسه mobinil اصلا.,2,2021-10-28
124,AmroBatrawi1, مطروح ,مشكلة لما تصير شركة orange اكتر حدا ببعتلك مسجات باليوم,1,2021-10-21
125,M_EdisonII, مطروح ,هي فودافون هتفضل زفت كتير كدا,0,2021-10-07
126,AlaaA1x, مطروح ,بجد انا مشفتش بجاحه في السرقه زي شركات الاتصالات في مصر سواء فودافون او اورانج حاجه خرا يعني,1,2021-09-15
127,AHMEDELDEEK1, مطروح ,جماعة حد يعرف لو عايز اغير شربحة فودافون بتاعتي  esim وانا برا البلد دا يجوز ولا لازم اروح فرع من فروع,0,2021-09-15
128,PROFashrafabdou, مطروح ,اعلان اتصالات بتاع احمد امين ده بايخ جدا,7,2021-09-01
129,sh3banmostafa1, مطروح ,"الشات الاونلاين الأسوء علي الإطلاق وخدمة العملاء اللي معندهاش خدمة عملاء ب٥ج والله
@Orange_Egypt",1,2021-08-27
130,nfergany, مطروح ,مصنعو برامج التجسس على الشعب   المشتراة  تمكنو من اختراق شبكات اتصالات و  خوادم الحواسيب في مركز العصابة للتنصت على الشعب في جهاز المخابرات وبذلك  صنعت عصابة احتلال مصر  ثغرة ضخمة جديدة  في امن مصر القومي,2,2021-08-25
131,Zamalek_Jimmy, مطروح ,٢٠ دقيقة ويمكن يزيدوا علشان اتكلم مع خدمة عملاء اتصالات مصر,1,2021-08-20
132,nfergany, مطروح ,"لتتربح العصابة من احتكارها الجائر، وشبكات اتصالات تعيسة اقرب للعدم بينما تتنطع العصابة زيفا بأحدث الشبكات  واسرعها. 
واجتماعيا،  بخلاف الاطفال، يقام كرنفال  مزركش  لأزياء البورقيني للسابحات، الممشوقات منهن، والمبعجرات،  وكلهن يتعاجبن",9,2021-08-19
133,mostafahameed, مطروح ,"#الزواج_هو
كباقة فودافون اول شهرين تجددها وتديك دقايق ونت واخر دلع وبعدها سبع سنين كل يوم اشوف رسالة جدد باقتك ومبجددهاش وكمان مستلف رصيد ومبدفعش",0,2021-08-16
134,Ra7all88, مطروح ,ياجماعه حد يعرف افضل باقة انترنت بنسبه لـ فودافون او اورنج,1,2021-08-12
135,Ra7all88, مطروح ,شبكة فودافون،حسبى الله ونعمه الوكيل,2,2021-08-12
136,_ramyee, مطروح ,"كل يوم اتصل ب اتصالات عشان اكلم خدمة العملا بس للأسف مش بيحصلي الشرف اني اسمع صوتهم و بفضل اسمع ف اعلانات ساعة على الاقل و بعدين يقفلوا الخط 🥲
@EtisalatMisr @Etisalat_Care @etisalat",0,2021-08-10
137,_ramyee, مطروح ,"واقف في @etisalat دلوقتي بقولهم انا شحنت النهاردة مرتين و الرصيد بيتسحب من غير سبب و واقف قدامهم بقالي نص ساعة مثلاً و هما كمان مش عارفين السبب 😁

@Etisalat_Care @EtisalatMisr",0,2021-08-09
138,sarahh_saad, مطروح ,هل شتمت اتصالات اليوم؟,0,2021-07-30
139,EmadAlSalem4, مطروح ,"إتصالات بتبعتلي كم رسائل خاصه بيها وبعروضها انا الحقيقه في غني عن الصداع ده يعني قرفت اقسم بالله تقول محدش شايل شريحة إتصالات في ال 100 مليون مصري غيري 🤦 
@EtisalatMisr",0,2021-06-12
140,Ben_No3man97, مطروح ,"زيي زي اي شاب بيدور على شغل وطبعا الشغل المتاح حاليا كول سنتر .. قدمت في 3 شركات وكلهم طلعو تبع اورنج بس اوت سورس وعلى حد علمي ان اورنج بعد ما كانت موبينيل اتبعات لشركة اتصالات فرنسية فرفضت الشغل
اللهم صلِ على سيدنا محمد❤
#مقاطعه_المنتجات_الفرنسيه224
#مقاطعه_المنتجات_الفرنسيه223",5,2021-06-07
141,XGveFXteNjdRSdG, مطروح ,من سيتوّج باللقب 🏆؟ انا أتوقع #السيتي بطلاً لـ #دوري_أبطال_أوروبا #توقع_شارك_اربح 📱 @etisalat @Cityarabia,0,2021-05-27
142,mohamed432013, مطروح ,من سيتوّج باللقب 🏆؟ انا أتوقع #تشيلسي بطلاً لـ #دوري_أبطال_أوروبا #توقع_شارك_اربح 📱 @etisalat @ChelseaFC,0,2021-05-27
143,ahmedabeelkader, مطروح ,احا احنا في ٢٠٢٠ و بحمل ١١ ميجابيت في ٥٠ دقيقه كسم فودافون الصراحه ...١١ ميجا دا الي هو صوره,0,2021-05-20
144,Mishmisha_ayten, مطروح ,"انا كنت فاكرة ان شيريهان بعيده عن الفن زى باقى الفنانين لما بيكبروا بيبعدوا عشان جمهورهم يفضل يحبهم ع مكانوا عليه
بس ف اعلان فودافون شيريهان طلعت قمرررين دول ولا عنيين ❤😘
#شيريهان بتعمل عظمه بجد
شابوة شيريهان😍",1,2021-04-14
145,miretmagdy1, مطروح ,"جماعة ده طلع المايم كفن ايا كان ايه و مين بيعملوه مبيتفهمش مش بتاع كنيستنا بس 😂😂
#اعلان_فودافون",2,2021-04-13
146,MohamedhossamL, مطروح ,اعلان فودافون ياااا جدعان 😍❤️,3,2021-04-13
147,KHALED_mahmoud0, مطروح ,بغض النظر عن اي حاجة ، اعلان فودافون  دمه تقيل فشخ .,1,2021-04-13
148,JigsawPolice, مطروح ,اعلان فودافون بدأ وشوفت شويه وبعدين روحت صليت المغرب ورجعت لقيته لسه شغال والله,1,2021-04-13
149,MostafaAlshapi, مطروح ,اعلان فودافون كسب يا جماعة من غير ما اشوف الباقي .. اصل دي شيريهان يعني,0,2021-04-13
150,ahmmedrgab, مطروح ,"اعلان فودافون مع شيريهان عظمه بجد
ابداع
ازاي لسه رقيقه وجميله ورشيقه كده؟ 
فرحت جدا لما شفتها وحسيت ببهجه كده ما شاء الله عليها ربنا يحفظها ياارب ❤❤❤❤
@VodafoneEgypt @Sherihan",5,2021-04-13
151,Ahmed65766229, مطروح ,هو ايه الاعلان الزفت بتاع فودافون ده,1,2021-04-13
152,mohdjamal21, مطروح ,ايوه انا النرم اللي مستني اعلان فودافون,0,2021-04-13
153,alaaokk, مطروح ,"قصة حقيقية
داين تدان
قرأت قصة صديقي مجانينو التي حدثت معه والعبرة الواضحة منها والدرس المفيد من محتواها 
وذكرتني بقصة مشابهة مع أنني أسأت التصرف بها. 
أثناء عملي بالسعودية كنت بأجازة بالصيف وكنت متواجدا بمارينا 
وتوجهت لفرع فودافون بمنطقة الشنزليزيه لسداد الفاتورة",43,2021-04-09
154,aya_ramadan19, مطروح ,صحابي فرحانين برقم فودافون اكتر مني انا شخصيا 😂❤,2,2021-04-07
155,ttttarek, مطروح ,"هوا فيه إيه ياجدعان؟.. كله بيحول فودافون كاش؟.. كله عايز فلوسه ڤودافون كاش؟؟.. أورانچ دي كخه ماحدش معترف بيها خالص؟؟

كأن البلد كلها خطوط ڤودافون 😏",0,2021-04-07
156,yassinsalih96, مطروح ,"جيت ادفع فاتورة الشريحة 60 جنيه لقيت ابلكيشن الدفع اداني 15 جنيه هدية عشان نزلتو، بعدين استخدمت كوبون اداني كاش باك 5%، و أول ما جددت الباقة كسبت سندويتش مجاني من ماكدونالدز.

شكراً أورانج
 شكراً مصر",0,2021-03-29
157,SawsanMahmoud_A, مطروح ,"ما اجملها 💃
امرأة برج السرطان 
عقلانيه
مرحه 
طيبه
بيتوتيه تعشق عائلتها 
تتفاني في خدمة الاخرين 
سيدة اعمال 
كريمه جدا 
وسخيه اوووي 
بس احذر قلبتها لو تجاوزت في حقها او خدشت حياءها هتلاقي رد فعل هتندم عليه باقي عمرك و هتشوف ايام سودا × اورانج 😂
هذه انااااااا SaSwaN👌",29,2021-03-28
158,dar_almousawi1, مطروح ,"#البعض من اللي يطلق عليهم ذكور 
..

ماعنده الشجاعة للمواجهه 
و لكن يبحث و يسأل و ينقل كلام بالكذب بين الرجال ...... اتصالات و استفسارات و تجسس على الغير ..... جبناء لا يتمتعون في الشجاعه للمواجهه ولا تنطبق عليهم صفات الرجال بختصار هم ..........
لذلك لا يستحقون الرد عليهم ..👌",2,2021-03-22
159,MennaHisham99, مطروح ,كل ما يجي اعلان تامر حسني بتاع اورانج قبل اي ڤيديو مش بقدر أ-skip ولازم اشوفه للآخر,5,2021-03-21
160,si7a94, مطروح ,"شباب
لو حد عنده شغل لمهندس اتصالات فريش لسه مخلص جيش يبعت لو سمحتم",1,2021-03-17
161,Asmaa_Aboshadi, مطروح ,حياتى الجامعية بتتمثل فى اعلان احمد حلمى بتاع اتصالات 😂,4,2021-03-09
162,MennaHisham99, مطروح ,اعلان احمد حلمي بتاع اتصالات جامد فشخ,6,2021-03-07
163,S_Abdullah990, مطروح ,"عاوز باقة نت على فودافون حلوه .. ويا ريت لو فيه ضعف او خصم 😊
@VodafoneEgypt",3,2021-02-27
164,booda_aly851, مطروح ,ياريت ضروري لو حد شغال في اتصالات يعرفني,2,2021-01-31
165,BasmitAmall, مطروح ,"انا لما بحب حد بملا حياته منشنات و اتصالات و messages كتير قلق كدا قلق
#قلق",2,2021-01-31
166,MmjdbaS, مطروح ,كنت بكره مواد اتصالات و شعال تأجيل فيهم لحد ما لاقت ان مفيش غيرهم و كام مادة كده المهم اما بدأت أدرس مواد اتصالات كرهتها أكتر و عرفت ليه مكنتش عايز أدرسها,0,2021-01-14
167,A7med_Saif_, مطروح ,"مسيو عمرو دياب امتى هينزل البومه ع اليوتيوب .. لاني انا ماعنديش خط فودافون عشان اسمعه 
ليه بس عملاء @VodafoneEgypt اللي ليهم الحق انهم يسمعو الالبوم .. كدا حرام والله 💔 
#يا_انا_يا_لاء",1,2021-01-13
168,Alx1zam, مطروح ,"الجهاز القومي لتنظيم الاتصالات عمل كود موحد عشان الناس اللي بتشتكي من تشغيل خدمات على أرقامها بدون ما تعرف عنها شيء وبيتم سحب الرصيد بسببها
مهما كانت شبكتك ""فودافون - أورانج - اتصالات - we"" 
اتصل دلوقتي برقم :
نجمة 155 شباك
*155#",0,2021-01-10
169,safwatabbas, مطروح ,"سيادة اللواء
هل
العلاقات المصرية السعودية تمر بفترة برود لتباين الرؤى والتوجهات حتى لم يحدث اتصالات مباشرة بين الملك سلمان والرئيس السيسى
كالامارات والبحريين
أعتقد
ذلك
مستبعد حتى وان اختلفت الرؤى التوافق والتنسيق المشترك لا ينقطع وبصرف النظر ع متابعة العامة فهناك تواصل بينى دائم",0,2021-01-05
170,Zenger_1988, مطروح ,مديري جابلي خط فودافون مميز وعاوزه اشكره ع الخط والله عشان اتشجع واخد خطوة ان اغير رقمي ورقم الواتساب ❤❤,4,2021-01-03
171,AhmedHassanM88, مطروح ,انا مش قافل تليفونى #انا_مش_قافل_موبايلي_انا_فودافون  #انا_فودافون #vodafone_egypt,0,2020-12-22
172,WALIDZAKY30, مطروح ,"اقسم بالله ببقي في شارع وبرضو مافيش شبكه 😂💔لدرجه ان مديري بقي بيفكرني بشتغلو وبعمل نفسي مش سامع 
#انا_فودافون",0,2020-12-18
173,alaaokk, مطروح ,"علاج مضمون لكل من يعاني من انخفاض ضغط الدم 
كل اللي عليك تحاول تتصل بخدمة عملاء فودافون وأؤكد لك إن ضغطك هيعلا من عدم الرد عليك او حتى الرد النتيجة واحدة 
بس المشكلة الوحيدة انهم بيرفعوا السكر كمان 
#انا_فودافون",8,2020-12-17
174,Mido51608860, مطروح ,"شركة زبالة حراميه  
#انا_فودافون",0,2020-12-17
175,o_ez0, مطروح ,"والله انا مش ببقي قافل موبايلي 
انا فودافون
#انا_فودافون
#VodafoneEgypt
#Vodafone",0,2020-12-16
182,MidoQOfficial, البحر الأحمر ,"مساء الخير تايم :
7/18  اتفاجئت اني ليا رقم اورنج
من 2011 وانا معرفش عنه حاجه
ده عن طريق الجهاز القومي للاتصالات
 My NTRA
عملت إخلاء مسؤليه في اورنج
والرقم سيتم اغلاقه في خلال 48 او 72 
ساعه سؤال الرقم ده اتسجل ازاي
باسمي ورقمي القومي @Orange_Egypt 
وانا معرفش حاجه من 2011",0,2022-07-18
183,is_benwhab, البحر الأحمر ,اقسم بالله شركه اورانج دى عليها كرم وذوق عدى الحدود يعمى  @Orange_Egypt,2,2022-07-02
184,1POosts, البحر الأحمر ,"🇺🇸:orange
.
🇸🇦:برتقال
.
🇪🇬:برتكان",2,2022-06-18
185,is_benwhab, البحر الأحمر ,"هى اتصالات زفت عندنا بس بقالها ساعتين ولا دا عند كله , مفيش اسوء من كدا اقسم بربى وقررت خلاص هرمى ام الشريحه دى علشان زهقت وربى وجبت جاز منكو @EtisalatMisr",3,2022-05-28
186,Sondosbastawi, البحر الأحمر ,إعلان فودافون هيخليك تقلب ف شات مينفعش تقلب فيه أجمد اجمد,5,2022-04-03
187,mahmoud_ali25, البحر الأحمر ,اعلان فودافون :انت ازاي مش مرتبط ي وحيد ي بائس ي عديم الاحساس ارتبط حالااااااااااا,4,2022-04-02
188,legoo1989, البحر الأحمر ,"اعلان #فودافون بتاع الام ده فظيييييع
يخربيت الابداع",0,2022-03-15
