user_name,user_location,text,likes,date
covermeincloud, الوادي الجديد ,هو ايه حوار فودافون كاش دا ؟ لو حد يعرف يقوليييييي,2,2022-08-24
a7med_5attab1, الوادي الجديد ,"تخيل العيال الفيمينست بيقولوا على دكتور شرين انها بتقول كدا علشان فاشلة ف شغلها 
الست الفاشلة دي نقيب أطباء القاهرة 
رئيس قسم الطب الشرعي بالقصر العيني 
عميد كلية طب بني سويف 
يخربيت حرية الرأي ياجدعان 
وأم صورم شغالة كول سنتر ف فودافون باين😂😂😂",13,2022-08-24
Nardeen02295597, الوادي الجديد ,محتاجة اكلم بني ادم من خدمة عملاء فودافون مش المساعد الشخصي @VodafoneEgypt,0,2022-08-24
SaMar2555_, الوادي الجديد ,بعمل سكس فون و كاميرا ب تحويل فودافون كاش,2,2022-08-24
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-24
alkaeed1122, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-24
SomiAsla, الوادي الجديد ,حريق بفرع فودافون المهندسين...يليه حريق بكرداسه الجيزه,1,2022-08-24
klbe1997, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-23
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-23
sbaai200481, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-23
RapapAwd, الوادي الجديد ,اتصالات بقالها ٤ ايام بتبعتلى مسج غير زيت عربيتك.. دول لو قاصدين يذلونى مش هيعملو كده.. @EtisalatEgypt  معنديش عربية والله بس لو عاوزينى اشترك فى باقة معينة وتدونى عربية هدية هكون شاكرة ليكم جداً,2,2022-08-23
ahmad_shoeib, الوادي الجديد ,"ممكن تنشر عندك لو حد محتاج محاسب خبره ٦ سنوات عمره ٣٣ سنه وعنده طفلين هو اصلا مهندس اتصالات لكن اشتغل محاسب في مؤسسه سيراميك كبيره وفي مطعم وكافيه واشتغل cost control وعنده خبره ممتازه في الكاميرات واجهزه الكمبيوتر بصفه عامه وجزاكم الله خيرا
م.محمد اسماعيل
01007423113",65,2022-08-23
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-23
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-23
fatmamohed5, الوادي الجديد ,هي فودافون بقت حنينه كدا ليه يجدعان,6,2022-08-23
ahmad_shoeib, الوادي الجديد ,"اخر شهر ليا فى اورانج بعد ١٣ سنه خدمه
مش هيجددولى العقد توفير نفقات
ادارة المبيعات من طنطا ٤٠ سنه
زكي عطا
01224668662
ً#ريتويت",1,2022-08-22
sbaai200481, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-22
Mohamed___Nasr, الوادي الجديد ,"بعد شكوى مع أورانج مبتتحلش، النهاردة بقول لهم عايز أعرف ميعاد لحل المشكلة
فردوا عليا سجلنا استيائك في الشكوى",0,2022-08-22
manarelsalhy4, الوادي الجديد ,"الله ينتقم من فودافون كفاية أنها لونها أحمر رريييد فلاااج
بس هنحتفل بردو ونقول الدووووري ف مييييت عقبه 🫰♥️
الدووووري ف مييييت عقبه",10,2022-08-22
manarelsalhy4, الوادي الجديد ,"ا ح ا يا فودافون حولت 1500 ع المحفظه حاليا علشان ادفع مصاريف بيقولي مفيش رصيد رصيدك 2 ج حد يلحقني هموت منهم اعمل ايه دلوقت ؟؟؟
@VodafoneEgypt",13,2022-08-22
nonem38, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-22
ahmateto665, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-22
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-22
alikreek564, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
ahmateto665, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
daawq444, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
mansor188885, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
klbe1997, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
manql78, الوادي الجديد ,شعري لونه orange وانتوا؟!,0,2022-08-21
ShadiAh35738076, الوادي الجديد ,حسبنا الله ونعم الوكيل في فودافون لسه شاحن 100ج يفضلي 19ج بس,1,2022-08-06
hour4000, مطروح ,#فودافون الحراميه ارسلت لى رسالة انها اوقفت فلكساتى عشان انا مجددة ع النوتة وانا عمرى بحياتى ما جددت ع النوته المصيبة جيت اتصل ع خدمة العملاء اهزئهم قالى معنديش رصيد مع انى بالامس كان معايا ١٢٢٥فلكس و١٦ جينى وكسور رصيد بالتالى لازم انزل اروح لاقررب فرع طبعا تنصحنى اغير لأى شركة؟؟,101,2022-08-28
Zamalek_Jimmy, مطروح ,رقم خدمة عملاء فودافون للافراد كام؟؟,1,2022-08-23
inaramez, مطروح ,هو اتصالات انترنت واقع في الساحل؟ @EtisalatEgypt,0,2022-08-07
haydie_argent, مطروح ,بجد هى ايه الفكره ان الداتا شغاله و فل بس ابلكيشن انا فودافون مبيشتغلش لييه طيب !,3,2022-07-27
RadwaElamir, مطروح ,اعلان فودافون اللي جمب الرادار دا حوار 😂😂,1,2022-07-05
MaVRick_7, مطروح ,مش عارف ليه بسمع نيلي كريم في الاعلان بتقول لكريم عبدالعزيز، مدام انت Orange primer يبقي عندك Spotify علي بطنك 😂 !!,2,2022-07-02
iSheefoo, مطروح ,هل فيه تحويل من محفظة فودافون كاش لحسابي البنكي @VodafoneEgypt,0,2022-07-01
Gohary1011, مطروح ,الله يلعن Orange هما و خدمه عملائهم و النت بتاعهم و ال ping بتاعهم،هكسر الشقه كلها بسببهم,0,2022-06-26
amirham75456187, مطروح ,"حتى شركة اتصالات بطلت تدينى ال ٦٠ ميجا السوشيال ميديا اللى بتكلم بيهم مع اصحابى على الواتس آب = الدنيا اتقل خيرها يا جدعان 😂😂😂🤦
#الشبح_",1,2022-06-23
shehaba63788273, مطروح ,نمت بعد العصر ف حلمت أن مكتب العميد بقي فرع لشركه اتصالات ف دخلت اقابل العميد وقولتله عايز اجدد الباقه 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,10,2022-06-07
HebaGam83064135, مطروح ,في ٢٠١٨ كنت بشتغل في فودافون اسبانيا وبعدين سبت الشركة، المهم يعني النهاردة قابلت كل زمايلي اللي كانوا معايا في الشغل في فرح صاحبتي اللي كانت معانا برضو هيا وجوزها واتفاجئت إن كل زمايلي الشباب والبنات يا مخطوبين يا  متجوزين 😂😂 اللهم بارك 🤭,3,2022-06-05
Gohary1011, مطروح ,"ربنا بالينى بشركتين اوىىىخ من بعض،واحده ال ping فيها ٩٠٠٠٠٠٠٠٠٠ و التانيه بتسقط شبكه و الناس تقعد تكلمنى و تشخرلى و انا مبيوصليش حاجه 
@Etisalat_Care @orange 
ارحموا ميتين اهلى يا ولاد الوىىىخه",0,2022-05-29
Doniasalah_, مطروح ,الشبكة كانت واقعة في العلمين امبارح فلما رجعت اتصلت بماما اسألها انتي كلمتيني والموبايل مقفول؟ قالتلي لا متصلتش اصلا وانا اللي كان كل همي الاقي حد مش فودافون عشان اتصل بيها من عنده عشان متقلقش طلع مش في دماغها تكلمني اصلا🤡,5,2022-05-26
Alaacfc, مطروح ,اما نشوف اخرة الشركة الخرا اتصالات دي ايه,0,2022-05-17
Rana_GAMAL_rOnY, مطروح ,"حاسة ان حزلقوم له يد في موضوع لبس الصيف السنادي عشان كلنا نلبس زيه فمحدش يتريق عليه
مش معقول اللبس كله اورانج وفوشيا واخضر لا وبيطقمون على بعض",1,2022-04-26
RebelyesDRK94, مطروح ,"حد فاهم اورانج كاسيدي كان بيعمل ايه في ماتش ادم كول 😅
#AEWRampage",3,2022-04-23
HamzaMo05911880, مطروح ,انا اتقالي اغرب حاجه ف الكوكب دلوقتي اني شبل حد بتاع اتصالات وكده او بتاع سجاير ومش فاهم ايه العلاقه !!,1,2022-04-19
AhmedWagih, مطروح ,ايه احسن اعلان شركة اتصالات في رأيك؟,0,2022-04-16
Zamalek_Jimmy, مطروح ,ابضن اعلان اتصالات,0,2022-04-14
GorgNbil, مطروح ,"كان في اوفر على باقة انغامي بلص ٥٠٪ يعني ب ٢٤ جنيه كريديت وانا كده كده بشحنها من فودافون ب ٢٢ ف قولت من فودافون احسن..
قمت شاحن ٣٢ جنيه عشان يكون عندي رصيد ٢٢ اشحن الباقة..🙂
انا ف التوفير ماعنديش ياما ارحميني..",0,2022-04-03
M_EdisonII, مطروح ,فودافون ومشاكلها وخراب البيوت,0,2022-03-30
M_T1313, مطروح ,فودافون كانت واقعة ولسه واقعة عند ناس,1,2022-03-30
ahmedmelshimyy, مطروح ,"عايز اعرف فروع اتصالات الرئيسية في القاهرة والجيزة
فرع رئيسي اقدر اعمل منه فسخ تعاقد
@EtisalatMisr",1,2022-03-04
OmarEbnshazly, مطروح ,"النور قاطع و الداتا خلصت و مش عارف اشحن لنفسي عشان مفيش إلا ٢٥ ميجا سوشيال هدية من اتصالات
انا قررت أكلمكم بيهم",0,2022-03-01
HassanDivo, مطروح ,كىىىم اتصالات بجد انا لازم اسيب الشغل في اقرب وقت,1,2022-02-28
YasawY92, مطروح ,باذن الله قريبا …. اقطع اشتراكي مع انترنت اورنج @Orange_Egypt  والله ي جماعة ما تتخيلو كمية المعاناه مع هذه الشركة,1,2022-02-20
Afayez80, مطروح ,هي إزاي #أورانج بتعمل إعلانات سخيفة كده؟,0,2022-02-14
abdalla_syalla, مطروح ,هو اي إلي فودافون عملاه ده انا قولت الفون باظ,0,2022-02-05
si7a94, مطروح ,"تعلن الشركة المصرية للاتصالات عن حاجتها الى مهندسين بالشروط التالية :
التخصص : اتصالات 
السن : لا يزيد عن ٣٠ سنة 
التقدير : لا يقل عن "" جيد "" 
النوع : ذكور واناث 
برجاء من ينطبق عليه الشروط السابقة يقوم بإرسال الcv على الميل التالى : 
George.abdo@te.eg",0,2022-01-30
S_Abdullah990, مطروح ,مين فودافون ريد؟,2,2021-12-26
EhJv11ILE7FRHvC, مطروح ,هيا شبكة اتصالات بقت خرا اوووى كدة لية معدش فى صيانة,0,2021-12-24
She7ataJr, مطروح ,اتصالات مصممة تشغل موظفين IQ دبشة,0,2021-12-08
AhmedWagih, مطروح ,اخر يوم لي على فودافون بعد ٢٢ سنة - من بكرة انا اورانج...,13,2021-12-06
ahmedal40784547, مطروح ,"#علاميات
بغض النظر عن مين اللي غلطان في موضوع فودافون انا ما اعرفش الحقايق ومش بحب افتي بس اللي استرعاني اوي ظهور صاحب جديد بيشوف صاحبه بينضرب وهو واقف بيصور 🤔 ودي بصراحة حاجة جديدة عليا
 اتمني اللي عنده تفسير يعرفني لان انا اعرف صاحب ممكن يموت علشان صاحبه مش يصوره وهو بيتضرب😏",30,2021-11-21
AntewenTarek, مطروح ,"اشمعنى حصلت المشاكل دي لما فودافون مارضيتش تبيع حصتها للجيش
اصل الحكايه كدا القائمين على سياسة الاقتصاد مايعرفوش يعني ايه اقتصاد#فودافون",0,2021-11-21
yahya_ahmedh, مطروح ,كل شوية اشغل فيديو العميل اللي بيتضرب في فودافون كنوع من انواع تهدئة الأعصاب..,1,2021-11-20
Ezzat_Amin, مطروح ,المهم الخناقة كبرت ودة جاب له رجالة من بلدهم معاهم سلاح راح التانى مكلم قرايبه فى خدمة العملاء فى فودافون.,1,2021-11-20
ReemMokhtar15, مطروح ,فودافون  بعتالي الساعة خمسة  الا ربع الفجر مبروك كسبت ٥٠٠ وحدة مش مكفيهم الوحدة اللي انا فيها💔💫💫🤼‍♀️.,0,2021-11-20
Gohary1011, مطروح ,جماعه عندى مشكله دلوقتى فى فودافون ان الشبكه مبتجمعش،الناس تتصل بيا عادى و يرن معاهم بس موبايلى ميجمعش،الشبكه 4G و سرعه النت بالكيلو بايت، و لو ربنا كرم و كلمت حد بلاقيه بيغرق فى نص المكالمه،هل انا لوحدى اللى كده؟,0,2021-11-19
UmarUma56724385, مطروح ,"انهارده روحت ادخل شركه فودافون قالى ممنوع لو سمحت كمامه روحت ادخل الصيدليه قلى ممنوع تدخل بدون كمامه ضحكت و بصيت لنفسى ومشيت 
شكرا شعب مصر العظيم",3,2021-11-13
HassanA67086506, مطروح ,"فودافون مصر حتبيع الشركة لشركة تانيه تابعه ليها فى جنوب افريقيا
يلا في داهيه",2,2021-11-10
NehadZeid, مطروح ,"طبعا بس قلت اجرب واتصلت 15340
رد عليا خدمة عملاء زي فودافون وخد مكاني وقالي تكلفة الخدمة حوالي 500جنيه شاملة الديليفري.
بردو مكنتش مصدق لحد ما قالي بس في مشكلة😁
قلت ايوا كدا هو دا الكلام اللي متعودين عليه
خش على المشكلة
قالي انك ممكن متلحقش تستلمها انهاردا وانهاردا الخميس  بقت 7",0,2021-11-01
saifabdellatif, مطروح ,هيغيرو اسم الفيسبوك وانا orange بالنسبالي لسه mobinil اصلا.,2,2021-10-28
AmroBatrawi1, مطروح ,مشكلة لما تصير شركة orange اكتر حدا ببعتلك مسجات باليوم,1,2021-10-21
M_EdisonII, مطروح ,هي فودافون هتفضل زفت كتير كدا,0,2021-10-07
AlaaA1x, مطروح ,بجد انا مشفتش بجاحه في السرقه زي شركات الاتصالات في مصر سواء فودافون او اورانج حاجه خرا يعني,1,2021-09-15
AHMEDELDEEK1, مطروح ,جماعة حد يعرف لو عايز اغير شربحة فودافون بتاعتي  esim وانا برا البلد دا يجوز ولا لازم اروح فرع من فروع,0,2021-09-15
PROFashrafabdou, مطروح ,اعلان اتصالات بتاع احمد امين ده بايخ جدا,7,2021-09-01
sh3banmostafa1, مطروح ,"الشات الاونلاين الأسوء علي الإطلاق وخدمة العملاء اللي معندهاش خدمة عملاء ب٥ج والله
@Orange_Egypt",1,2021-08-27
nfergany, مطروح ,مصنعو برامج التجسس على الشعب   المشتراة  تمكنو من اختراق شبكات اتصالات و  خوادم الحواسيب في مركز العصابة للتنصت على الشعب في جهاز المخابرات وبذلك  صنعت عصابة احتلال مصر  ثغرة ضخمة جديدة  في امن مصر القومي,2,2021-08-25
Zamalek_Jimmy, مطروح ,٢٠ دقيقة ويمكن يزيدوا علشان اتكلم مع خدمة عملاء اتصالات مصر,1,2021-08-20
nfergany, مطروح ,"لتتربح العصابة من احتكارها الجائر، وشبكات اتصالات تعيسة اقرب للعدم بينما تتنطع العصابة زيفا بأحدث الشبكات  واسرعها. 
واجتماعيا،  بخلاف الاطفال، يقام كرنفال  مزركش  لأزياء البورقيني للسابحات، الممشوقات منهن، والمبعجرات،  وكلهن يتعاجبن",9,2021-08-19
mostafahameed, مطروح ,"#الزواج_هو
كباقة فودافون اول شهرين تجددها وتديك دقايق ونت واخر دلع وبعدها سبع سنين كل يوم اشوف رسالة جدد باقتك ومبجددهاش وكمان مستلف رصيد ومبدفعش",0,2021-08-16
Ra7all88, مطروح ,ياجماعه حد يعرف افضل باقة انترنت بنسبه لـ فودافون او اورنج,1,2021-08-12
Ra7all88, مطروح ,شبكة فودافون،حسبى الله ونعمه الوكيل,2,2021-08-12
_ramyee, مطروح ,"كل يوم اتصل ب اتصالات عشان اكلم خدمة العملا بس للأسف مش بيحصلي الشرف اني اسمع صوتهم و بفضل اسمع ف اعلانات ساعة على الاقل و بعدين يقفلوا الخط 🥲
@EtisalatMisr @Etisalat_Care @etisalat",0,2021-08-10
_ramyee, مطروح ,"واقف في @etisalat دلوقتي بقولهم انا شحنت النهاردة مرتين و الرصيد بيتسحب من غير سبب و واقف قدامهم بقالي نص ساعة مثلاً و هما كمان مش عارفين السبب 😁

@Etisalat_Care @EtisalatMisr",0,2021-08-09
sarahh_saad, مطروح ,هل شتمت اتصالات اليوم؟,0,2021-07-30
EmadAlSalem4, مطروح ,"إتصالات بتبعتلي كم رسائل خاصه بيها وبعروضها انا الحقيقه في غني عن الصداع ده يعني قرفت اقسم بالله تقول محدش شايل شريحة إتصالات في ال 100 مليون مصري غيري 🤦 
@EtisalatMisr",0,2021-06-12
Ben_No3man97, مطروح ,"زيي زي اي شاب بيدور على شغل وطبعا الشغل المتاح حاليا كول سنتر .. قدمت في 3 شركات وكلهم طلعو تبع اورنج بس اوت سورس وعلى حد علمي ان اورنج بعد ما كانت موبينيل اتبعات لشركة اتصالات فرنسية فرفضت الشغل
اللهم صلِ على سيدنا محمد❤
#مقاطعه_المنتجات_الفرنسيه224
#مقاطعه_المنتجات_الفرنسيه223",5,2021-06-07
XGveFXteNjdRSdG, مطروح ,من سيتوّج باللقب 🏆؟ انا أتوقع #السيتي بطلاً لـ #دوري_أبطال_أوروبا #توقع_شارك_اربح 📱 @etisalat @Cityarabia,0,2021-05-27
mohamed432013, مطروح ,من سيتوّج باللقب 🏆؟ انا أتوقع #تشيلسي بطلاً لـ #دوري_أبطال_أوروبا #توقع_شارك_اربح 📱 @etisalat @ChelseaFC,0,2021-05-27
ahmedabeelkader, مطروح ,احا احنا في ٢٠٢٠ و بحمل ١١ ميجابيت في ٥٠ دقيقه كسم فودافون الصراحه ...١١ ميجا دا الي هو صوره,0,2021-05-20
Mishmisha_ayten, مطروح ,"انا كنت فاكرة ان شيريهان بعيده عن الفن زى باقى الفنانين لما بيكبروا بيبعدوا عشان جمهورهم يفضل يحبهم ع مكانوا عليه
بس ف اعلان فودافون شيريهان طلعت قمرررين دول ولا عنيين ❤😘
#شيريهان بتعمل عظمه بجد
شابوة شيريهان😍",1,2021-04-14
miretmagdy1, مطروح ,"جماعة ده طلع المايم كفن ايا كان ايه و مين بيعملوه مبيتفهمش مش بتاع كنيستنا بس 😂😂
#اعلان_فودافون",2,2021-04-13
MohamedhossamL, مطروح ,اعلان فودافون ياااا جدعان 😍❤️,3,2021-04-13
KHALED_mahmoud0, مطروح ,بغض النظر عن اي حاجة ، اعلان فودافون  دمه تقيل فشخ .,1,2021-04-13
JigsawPolice, مطروح ,اعلان فودافون بدأ وشوفت شويه وبعدين روحت صليت المغرب ورجعت لقيته لسه شغال والله,1,2021-04-13
MostafaAlshapi, مطروح ,اعلان فودافون كسب يا جماعة من غير ما اشوف الباقي .. اصل دي شيريهان يعني,0,2021-04-13
ahmmedrgab, مطروح ,"اعلان فودافون مع شيريهان عظمه بجد
ابداع
ازاي لسه رقيقه وجميله ورشيقه كده؟ 
فرحت جدا لما شفتها وحسيت ببهجه كده ما شاء الله عليها ربنا يحفظها ياارب ❤❤❤❤
@VodafoneEgypt @Sherihan",5,2021-04-13
Ahmed65766229, مطروح ,هو ايه الاعلان الزفت بتاع فودافون ده,1,2021-04-13
mohdjamal21, مطروح ,ايوه انا النرم اللي مستني اعلان فودافون,0,2021-04-13
alaaokk, مطروح ,"قصة حقيقية
داين تدان
قرأت قصة صديقي مجانينو التي حدثت معه والعبرة الواضحة منها والدرس المفيد من محتواها 
وذكرتني بقصة مشابهة مع أنني أسأت التصرف بها. 
أثناء عملي بالسعودية كنت بأجازة بالصيف وكنت متواجدا بمارينا 
وتوجهت لفرع فودافون بمنطقة الشنزليزيه لسداد الفاتورة",43,2021-04-09
aya_ramadan19, مطروح ,صحابي فرحانين برقم فودافون اكتر مني انا شخصيا 😂❤,2,2021-04-07
ttttarek, مطروح ,"هوا فيه إيه ياجدعان؟.. كله بيحول فودافون كاش؟.. كله عايز فلوسه ڤودافون كاش؟؟.. أورانچ دي كخه ماحدش معترف بيها خالص؟؟

كأن البلد كلها خطوط ڤودافون 😏",0,2021-04-07
yassinsalih96, مطروح ,"جيت ادفع فاتورة الشريحة 60 جنيه لقيت ابلكيشن الدفع اداني 15 جنيه هدية عشان نزلتو، بعدين استخدمت كوبون اداني كاش باك 5%، و أول ما جددت الباقة كسبت سندويتش مجاني من ماكدونالدز.

شكراً أورانج
 شكراً مصر",0,2021-03-29
