اباريس	ابريس
اوجاق	وجق
اوجان	وجن
اودان	ودن
اوراد	ورد
اوراش	ورشه
ورش 	ورشه
اوراك	ورك
اورال	ورل
اوران	ورن
اوزار	وزر
اوساخ	وسخ
اوسان	وسن
اوشام	وشم
اوصال	وصل
اوصياء	وصي
اوغاد	وغد
اوقاف	وقف
اوناش	ونش
اوهان	وهن
بتراء	ابتر
بثور	بثره
بحوث	بحث
بخلاء	بخيل
بدائع	بديع
بدور	بدر
برانيس	برنوس
براويز	برواز
برايا	بريه
بروج	برج
برور	بر
بروز	برز
بروش	برش
بروق	برق
برون	بره
بزور	بزر
بشائر	بشاره
بشور	بشر
بصائر	بصيره
بطائح	بطيحه
بطاريق	بطريق
بطحاء	بطيحه
بعداء	بعيد
بعوث	بعث
بعوض	بعوضه
بغايا	بغيه
بقعاء	بقيع
بلاعيم	بلعوم
بلايا	بليه
بلغاء	بليغ
بلهاء	ابله
بنادير	بندير
بنون	ابن
بهائم	بهيمه
بوائك	بائك
بواتق	بوتقه
بوادئ	بادئه
بوارق	بارق
بواسير	باسور
بواشق	باشق
بواعث	باعث
بواكير	باكوره
بيوت	بيت
بيور	بير
بيوض	بيض
بيوع	بيع
تباديل	تبديل
تباشير	تبشير
تجاعيد	تجعيد
تجاويف	تجويف
تحاميل	تحميل
تحاويل	تحويل
تخاريم	تخريم
تداريب	تدريب
ترابيق	تربيق
تراتيب	ترتيب
تراتيل	ترتيل
تراحيب	ترحيب
تراحيل	ترحيل
تراكيب	تركيب
تراكيز	تركيز
تراويح	ترويحه
تشاريع	تشريع
تصاريف	تصريف
تصانيف	تصنيف
تصاويت	تصويت
تصاوير	تصوير
تضاريس	تضريس
تعاريف	تعريف
تعاليق	تعليق
تعساء	تعيس
تفاتيش	تفتيش
تفاسير	تفسير
تقاسيم	تقسيم
تقاطيع	تقطيع
تكايا	تكيه
تمائم	تميمه
تهائم	تهامه
تياسير	تيسير
ثنايا	ثنيه
ثوانٍ	ثانيه
ثيول	ثيل
ثيوم	ثيم
جبول	جبل
جبون	جبن
جحور	جحر
جدائل	جديل
جدور	جدر
جدول	جدل
جذامير	جذمور
جرود	جرد
جروذ	جرذ
جروس	جرس
جروش	جرش
جروف	جرف
جروم	جرم
جرون	جرن
جزور	جزر
جزوع	جزع
جسوم	جسم
جفوف	جف
جفون	جفن
جلائل	جليله
جلابيب	جلباب
جلساء	جليس
جلول	جل
جمور	جمر
جموم	جم
جنائب	جنيبه
جنائز	جنازه
جنائن	جنينه
جنازير	جنزير
جنوك	جنك
جهراء	جهير
جهود	جهد
جهور	جهر
جوائح	جائحه
جواثم	جاثم
جوارب	جورب
جوازم	جازم
جوامد	جامد
جواميس	جاموس
جواهر	جوهره
جيود	جيد
جيوش	جيش
حبائل	حباله
حجور	حجر
حجول	حجل
حجوم	حجم
حدائد	حديد
حدود	حد
حرائر	حرير
حراطين	حرطانه
حروش	حرش
حروق	حرق
حزوم	حزم
حسوب	حسب
حسود	حسد
حصائر	حصيره
حصائل	حصيله
حصباء	حصبه
حضون	حضن
حظور	حظر
حفائر	حفير
حكايا	حكايه
حلوق	حلق
حلوم	حلم
حمائل	حماله
حمائم	حمامه
حمور	حمار
حموض	حمض
حنايا	حنيه
حنفاء	حنيف
حواجب	حاجب
حواسب	حاسب
حواشٍ	حاشيه
حواصل	حاصل
حواضر	حاضره
حوافر	حافر
حوافظ	حافظه
حواقن	حاقن
حواكير	حاكور
حوانيت	حانوت
حيود	حيد
حيون	حين
خبايا	خبيه
خبوب	خب
ختوم	ختم
ختون	ختن
خدود	خد
خرائب	خرابه
خراطيم	خرطوم
خروق	خرق
خشوم	خشم
خصائص	خاصيه
خصوص	خص
خطايا	خطيه
خطوب	خطب
خطوم	خطم
خلائط	خليط
خلائف	خليفه
خلائق	خليقه
خلاخيل	خلخال
خلفاء	خليفه
خمائر	خميره
خواتم	خاتم
خوادم	خادم
خواديم	خادوم
خوارج	خارج
خوارق	خارق
خوازيق	خازوق
خواصر	خاصره
خواص	خاصيه
خواطر	خوطر
خوالد	خالده
خوانق	خانق
خياشيم	خيشوم
خيور	خير
دجون	دجن
دخائل	دخيله
دراويز	دروازه
دروب	درب
درور	دار
دروز	درز
دفوف	دف
دنون	دنا
دهاليز	دهليز
دهور	دهر
دهك	دهوك 
دوارق	دورق
دواعم	داعم
دواعٍ	داعٍ
دوالين	دالون
دوالٍ	داليه
دواير	دايره
ديوره	دير
ديوم	ديمه
ذرور اذره	
ذوات	ذات
ذواكر	ذاكر
ذيول	ذيل
ربوع	ربع
رحماء	رحيم
رساتيق	رستاق
رضوض	رضه
رعود	رعد
رفقاء	رفيق
رفوف	رف
رقائق	رقيقه
رقوش	رقش
ركائب	ركوبه
ركايا	ركيه
رموش	رمش
رمول	رمل
روائب	رائب
روابع	رابع
رواجع	راجع
رواديد	رادود
رواد	رائد
رواسب	راسب
رواسم	راسم
روافض	رافض
روافع	رافع
روامس	رامس
رواند	راند
رواه	راوي
روايا	راويه
زبائن	زبون
زبناء	زبون 
زبور	زبر
زرازير	زرزور
زروع	زرع
زغاريد	زغروده
زمور	زمر
زنابير	زنبار
زنوج	زنجي
زوائد	زائد
زوامل	زامل
زوايا	زويه
سبائل	سبيل
سبايا	سبيه
سبوت	سبت
ستور	ستر
سجائر	سيجاره
سجايا	سجيه
سحائب	سحابه
سخفاء	سخيف
سرائر	سرير
سرابيل	سربال
سروج	سرج
سطول	سطل
سكور	سكر
سلائف	سلفه
سلائل	سليله
سلول	سل
سمامير	سمور	
سموط	سمط
سموك	سمك
سنون	سن
سهوب	سهب
سواتل	ساتل
سواعد	ساعد
سوافل	سافل
سواقط	ساقط
سواكن	ساكن
سوالف	سالف
سواهم	ساهم
سيور	سير
سوائل	سائل
سيول	سيل
سدود	سد
اسواق سوق 
شؤون	شان
شتول	شتله
شجون	شجن
شحارير	شحرور
شخوص	شخص
شدائد	شديد
شذور	شذر
شرابيل	شربيل
شراشير	شرشور
شروج	شرج
شروف	شارف
شطائر	شطيره
شطور	شطر
شطوط	شط
شعراء	شاعر
شغور	شغر
شفانين	شفنين
شفعاء	شفيع
شقائق	شقيق
شقراء	اشقر
شمائل	شميله
شماريخ	شمروخ
شموس	شمس
شموع	شمع
شناشيل	شنشول
شهائد	شهاده
شهود	شاهد
شواحن	شاحن
شوارد	شارد
شواعر	شاعر
شواغر	شاغر
شواغل	شاغل
شوافع	شافع
شواقل	شاقل
شوامس	شامس
شوايب	شايب
شيوخ	شيخ
صبايا	صبيه
صحائف	صحيفه
صخور	صخره
صدود	صد
صرحاء	صريح
صرود	صرد
صروف	صرف
صعاليك	صعلوك
صفائف	صفيف
صفوق	صفق
صلاحيت	صالحيه
صلوح	صليح
صموغ	صمغ
صنائع	صنيعه
صنابير	صنبور
صنوج	صنج
صنوع	صنع
صنوف	صنف
صوائت	صائت
صوارم	صارم
صواعد	صاعد
صوالح	صالح
صوامت	صامت
صواميل	صاموله
ضرائح	ضريح
ضروس	ضرس
ضروع	ضرع
ضروف	ضرف
ضغائن	ضغينه
ضغابيس	ضغبوس
ضفائر	ضفيره
ضهور	ضهر
ضوابط	ضابط
ضواحك	ضاحك
ضوارٍ	ضارٍ
ضواغط	ضاغط
طبائع	طبيعه
طباشير	طبشوره
طبوع	طبع
طبول	طبله
طرابيش	طربوش
طرفاء	طريف
طفول	طفل
طلوح	طلح
طنوف	طنف
طواحن	طاحنه
طواحين	طاحونه
طواغيت	طاغوت
طوافين	طوفان
طوالع	طالع
طواهر	طاهر
طواويس	طاووس
ظرفاء	ظريف
ظعائن	ظعينه
ظلوم	ظلم
ظنون	ظن
ظهائر	ظهير
عبوس	عابس
عتائق	عتيق
عتقاء	عتيق
عرائس	عروس
عرسان	عريس 
عرائش	عريشه
عرايا	عريان
عرفاء	عريف
عروب	عرب
عشايا	عشيه
عشراء	عشير
عشور	عشر
عشوش	عش
عصائب	عصابه
عظائم	عظيم
عفراء	اعفر
عقلاء	عاقل
علاجيم	علجوم
علوم	علم
عمائر	عماره
عمائم	عمامه
عماليق	عملاق
عمداء	عميد
اعمده	عمود	
عمد	عمود 
عمور	عمر
عموش	عمش
عناقيد	عنقود
عوابد	عابد
عواذل	عاذل
عوارف	عارف
عوازل	عازل
عوازم	عازم
عواشب	عاشب
عواكس	عاكس
عوامر	عامره
عوانس	عانس
عوايد	عايد
عيون	عين
غرائر	غريره
غرانيق	غرنوق
غرف	غرفه
غضاريف	غضروف
غموم	غم
غنوم	غنم
غوائل	غائله
غواصين	غواص 
غوامض	غامض
غوايش	غويشه
غيول	غيل
فتائل	فتيل
فتوح	فتح
فتوق	فتق
فجائع	فجيعه
فحول	فحل
فخوذ	فخذ
فرائد	فريد
فرائس	فريسه
فراديس	فردوس
فراهيد	فرهود
فرقاء	فريق
فرق	فريق
فروج	فرج
فروس	فرس
فروش	فرش
فروض	فرض
فروم	فرم
فرون	فرن
فسائل	فسيله
فصحاء	فصيح
فضلاء	فاضل
فقوع	فقع
فكوك	فك
فلول	فل
فناجيل	فنجال
فهود	فهد
فهوم	فهم
فواجع	فاجعه
فواحش	فاحش
فوارس	فارس
فوازير	فازوره
فواضل	فاضل
فوالق	فالق
فيوض	فيض
فيول	فيل
افيال	قيل
قبائح	قبيح
قبايا	قبيه
قدود	قد
قدور	قدر
قرائن	قرينه
قراطيس	قرطاس
قراميد	قرميد
قراميط	قرموط
قري	قريه
قرناء	قرين
قروح	قرحه
قروش	قرش
قروف	قرف
قروم	قرم
قسوس	قس
قشور	قشر
قطائع	قطيعه
قطوع	قطع
قطف	قطوف 
قلائد	قلاده
قلائص	قلوص
قناطير	قنطار
قنون	قنه
قوابس	قابس
قوابض	قابض
قوات	قوه
قوادس	قادس
قواديس	قادوس
قواذف	قاذفه
قواسم	قاسم
قواصم	قاصم
قوايل	قايل
كؤوس	كاس
كبائن	كبينه
كبراء	كبير
كتاتيب	كتاب
كتاكيت	كتكوت
حلول	حل
كرائم	كريم
كراديس	كردوس
كرماء	كريم
كروب	كرب
كروت	كرت
كرور	كر
كروش	كرش
كشوف	كشف
كعوب	كعب
كفور	كفر
كفوف	كف
كلول	كل
كلوم	كلم
كنائن	كنانه
كنوت	كنت
كهول	كهل
كوابل	كابل
كوابيس	كابوس
كوابيل	كابولي
كواتم	كاتم
كواحل	كاحل
كوارع	كارعه
كوارك	كوريك
كوامن	كامن
كيوف	كيف
كيون	كين
لطائف	لطيف
لطائم	لطيمه
قاده	قائد
لواحق	لاحق
لواحم	لاحم
لواقح	لاقح
لوالب	لولب
لوامس	لامس
لوامع	لامع
ليالي	ليله
مباديء	مبدء
متاريس	متراس
متون	متن
مثاقيب	مثقاب
مثاقيل	مثقال
مجاديف	مجداف
مجاذيب	مجذوب
مجاهيل	مجهول
مجاول	مجول 
محاذير	محذور
محاريب	محراب
محاريث	محراث
محارير	محرار
محاسيب	محسوب
محاليق	محلاق
مخاريط	مخراط
مخاليط	مخلاط
مخاليف	مخلاف
مداميك	مدماك
مدود	مد
مدن	مدينه
مرائب	مراب
مراسيل	مرسال
مراقيب	مرقاب
مراويس	مرواس
مرايا	مراه
مروت	مرت
مزائج	مزيج
مزاريب	مزراب
مزامير	مزمار
مسابير	مسبار
مساريق	مسراق
مسوخ	مسخ
مساور	مسور	
مشائخ	مشيخه
مشاوير	مشوار
مصائد	مصيده
مصائف	مصيف
مصاديق	مصداق
مصاريع	مصراع
مضاريب	مضراب
مضامير	مضمار
مطالب	مطلب
مطامير	مطمار
مطايا	مطيه
معاضيد	معضاد
معاليق	معلاق
مغائر	مغاره
مغاليق	مغلاق
مغاوير	مغوار
مفاقيد	مفقود
مقادير	مقدار
مقاريب	مقرب
مقاصير	مقصوره
مقاليد	مقلاد
مقاييس	مقياس
مقوس مقاوس	
مكائن	مكينه
مكاتيب	مكتوب
مكاثير	مكثار
مكاييل	مكيال
مكوس	مكس
ملائكه	ملاك
ملاجيء	ملجيء
ملايا	ملايه 
ملايير	مليار
ملحاء	مليح
ملوك	ملك
منائح	مناحه
منائر	مناره
مناديل	منديل
مناعير	منعور
منافيخ	منفاخ
مناقير	منقار
مناقيش	منقاش
منايا	منيه
منعاء	منيع
مهود	مهد
موائع	مائع
موائل	مائل
مواجز	موجز
مواد	ماده
موازين	ميزان 
مواشي	ماشيه
مواضع	موضع
مواطئ	موطئ
مواعظ	موعظه
مواقد	موقد
موالح	مالح
موالد	مولد
ميون	مين
نبائط	نبيط
نبهاء	نبيه
نجباء	نجيب
ندماء	نديم
نسائل	نسيله
نسائم	نسيم
نسانيس	نسناس
نشطاء	نشيط
نصراء	نصير
نظائر	نظير
نظراء	نظير
نقائش	نقيش
نقائض	نقيض
نقائل	نقيله
نوائب	نائب
نوابض	نابض
نوابغ	نابغ
نواتئ	ناتئ
نواد	ناد
نوارس	نورس
نوازل	نازل
نواسيخ	ناسوخ
نواسير	ناسور
نواصب	ناصب
نواصر	ناصر
نواعم	ناعم
نواعير	ناعور
نوافل	نافله
نوافير	نافوره
نواقص	ناقص
نواقل	ناقله
نواقيس	ناقوس
نواهض	ناهض
نوايا	نيه
هجائن	هجينه
هجناء	هجين
هدب	هدباء 
هوادج	هودج
هوازج	هازج
هواكم	هوي 
هوانم	هانم
هواون	هاون
هوايا	هويه
وشوش	وش
وصاوص	وصوص 
يرابيع	يربوع
يعاسيب	يعسوب
ينابيع	ينبوع
